title,type,description,effect,pic,header
Jenkins is down!,Event,"Jenkins is down for no apparent reason, delaying all your projects. Only David knows how to fix it.",Move back 1 square every turn. Discard David to remove this effect.,jenkins.png,ucl-rojo.png
Meeting with ITCPD,Event,You have to go to another frustrating project meeting.,Throw 2 dice and move back those many squares.,itcpd.png,ucl-rojo.png
Time for marking,Event,Your whole team needs to do some urgent marking. Everything else gets delayed.,Move back as many squares as project cards you have.,marking.png,ucl-rojo.png
The Architects get involved,Event,Brace! Your projects can go very well or very badly.,Discard all your cards and draw 3 new cards. Good luck!,architects.png,ucl-rojo.png
It's Agile time!,Event,Yeah. Not that kind of Agile. Sorry.,"Discard RCI, RC, RDS, RITA, Eva and Clare, if you have them.",agile.png,ucl-rojo.png
Raquel,Team Member,Raquel's too busy and can't take any more projects.,Keep this card. Discard all project cards you draw in the future.,rrrrrrakel.png,ucl-rojo.png
Roma,Team Member,"Roma knows a lot about a lot, and isn't afraid to explain it. Are you sure you've thought that through?","Keep this card. If you would draw a card, roll a die and only draw if you roll 3 or more.",roma.jpg,ucl-rojo.png
Estates,Event,Estates have completed a building refit.,Every player randomly swaps places then moves back one space.,estates.gif,ucl-rojo.png
HR,Event,HR get the job description wrong again.,Lose one randomly selected team member.,hr.png,ucl-rojo.png
Grace's network glitches,Event,There's a sporadic error in Grace's networking infrastructure.,"Your jobs fail, go back 3 squares. (Unless you have Research Computing Applications, who save the day.)",datacentre.png,ucl-rojo.png
Corrupt backups,Event,Your system backups are corrupted!,"Lose a turn sorting out the mess, unless you have Research Computing Infrastructure.",datacentre.png,ucl-rojo.png
Funding confirmed!,Event,A grant proposal was successful.,"Miss a turn if you have more projects than team members, while you recruit. Otherwise, move +1 per team member card you have.",funding.png,ucl-rojo.png
The Fortran Curse,Event,"You left the cursed Fortran book out of its magic chest overnight, and now the office is flooded.","Lose a turn while you clean up and order new laptops, and lose Jens if you have him.",fortran.png,ucl-rojo.png
Cold War with Computer Science,Event,Projects got allocated to CS guys instead.,"Lose half your projects and the team members on CS projects (Asif, Roland and Jonathan if in hand).",ucl.png,ucl-rojo.png
Loss of crates,Event,Some crates mysteriously disappear while moving offices.,Your fancy screens are gone! Productivity is reduced. Move back 2 squares per project in hand.,crateslost.jpg,ucl-rojo.png
Professor Keeter Bloveney,Event,One of your old collaborators demands you go back and fix his code.,Go back 8 squares or lose a team member.,ucl.png,ucl-rojo.png
The Provost,Event,The provost cuts jobs across professional services to pay for his latest vanity project. RITS staff strike in solidarity.,Roll a die and lose that many team members.,ucl.png,ucl-rojo.png
Strike !,Event,UCU calls for pension strike.,Your team members are striking. Projects are delayed. Roll a dice per team member and move back that many squares.,strike.png,ucl-rojo.png
Metadata loss,Event,Research Data's object store has lost the metadata.,Swap all project cards with a player of your choice.,datacentre.png,ucl-rojo.png
Roland,Team member,Roland takes a loooooooooooong time to understand the subtleties of perfect software crafting.,He will eventually get there. Reduce your forward moves by 1 for the time spent in explanations.,Roland.jpg,ucl-rojo.png
DDoS attack,Event,UCLU have cancelled a speaker and as a result UCL are under attack from a botnet.,Miss a turn.,ddos.png,ucl-rojo.png
GDPR,Event,You spend too much time sorting out all GPDR emails.,Miss a turn.,gdpr.png,ucl-rojo.png
Geekbot is going crazy!,Event,You receive random Geekbot notifications.,"Have you chosen who you will pair with? If not, by the end of reading, move to the last player position.",slack.png,ucl-rojo.png
Security hole,Event,A PI has demanded you implement something in an insecure way as their project is not a target for hackers.,"Hold your cards face down in front of the other players, and allow them each to steal one at random.",hole.jpg,ucl-rojo.png
Bad research,Event,"Someone is running simulations on the cluster, looking for a positive result they can publish.","Roll the dice as many times as it takes to get the number of moves you want, then discard this card.",rc.png,ucl-rojo.png
Asif,Team member,Asif has decided to spend the afternoon hacking his dotfiles.,Lose a turn until he comes to his senses. Discard this card.,Asif.jpg,ucl-rojo.png
Anastasis,Team member,"Anastasis is working on projects he knows nothing about, and is distracted with background reading.",Roll a die and move back that many squares. Discard this card.,Anastasis.jpg,ucl-rojo.png
GitHub is being acquired... ,Event,... by $ome software company. You are worried about your opensource projects,This event affects everyone! Every player loses two project cards to the player on their right (choose randomly).,octocat.png,ucl-rojo.png
End of UCL,Event,Evil Corp summoned Mecha-Bentham to subjugate UCL. Everything is lost!, All players go back to square 1.,godzilla.png,ucl-rojo.png
Successful recruitment round,Event,All newstarters join within the next week.,You may throw the dice again.,hiring.png,ucl-azul.png
Good feedback,Event,You got some awesome feedback and everyone is motivated.,Move +1 per team member card you have.,feedback.png,ucl-azul.png
Clare,Team Member,"Attempts to shield the team from the perils of upper management.
","You can discard up to three of your cards. Then, discard immediately.",clare.jpg,ucl-azul.png
David,Team Member,"Bouncy and enthusiatic, David knows the magic Jenkins incantations.",Keep this card. Discard to save yourself from the Jenkins Rage card.,david.png,ucl-azul.png
Matthew,Team Member,"Experienced developer, enjoying new challenges.",Keep this card. +1 to odd die rolls.,Matthew.jpg,ucl-azul.png
Jeremy,Team Member,"Jeremy delves into the mysterious world of Electronic Health Records.
",Keep this card. +1 to all rolls if you have the Inform card.,Jeremy.jpg,ucl-azul.png
Sanaz,Team Member,"Sanaz accelerates our data science efforts.
",Keep this card. Take an extra turn each time you gain a project requiring data science skills.,Sanaz.jpg,ucl-azul.png
Roland,Team Member,May the powers of Quantum Mechanics be with you.,Keep this card. Quantum teleportation allows you to probabilistically swap with the leading player on a 5+ dice throw. Move +5 if that's you.,Roland.jpg,ucl-azul.png
Stuart,Team Member,"Expert on landslides. Watch out you don't slip up!
","Keep this card. Can dodge one event that requires you to move, then discard.",Stuart.jpg,ucl-azul.png
Ilektra,Team Member,"Technical *and* socially-minded. Upper management, be afraid.
","Keep this card. If you are forced to lose a team member, you may ignore that instruction and discard Ilektra instead.",Ilektra.jpg,ucl-azul.png
Jonathan,Team Member,"Dabbles in a bit of everything.
",Keep this card. Take an extra turn each time you gain a project if you have more than five.,jon.png,ucl-azul.png
Ben,Team Member,"Roaming man of maps, travels in search of sunny climates.",Add +2 to all rolls. Discard after two turns.,ben.png,ucl-azul.png
Sinan,Team Member,"Mysterious man from the east, icon of diversity, fights the mysterious dragon in the haven of data. ",Keep this card. Use it at any time allows you to keep any number of your cards when you are forced to discard them.,sinan.png,ucl-azul.png
Helen,Team Member,"Inspirational Django developer.
",Keep this card. +1 to all rolls if you also have the Dashboard project.,helen.png,ucl-azul.png
Eva,Team Member,Eva knows all and keeps everything running. She thanks you ever so much.,"Keep this card. When you start your turn, you may look at the top three cards of the deck and rearrange them.",eva.jpg,ucl-azul.png
Josie,Team Member,Because you never know when you'll need more all-around help.,Keep this card. Add +1 to all rolls.,Josie.jpg,ucl-azul.png
